"<img src=""vocab-actor.jpg"">";actor;actor;ator
"<img src=""vocab-adjective.jpg"">";adjective;adjetivo;adjetivo
"<img src=""vocab-adult.jpg"">";adult;adulto;adulto
"<img src=""vocab-afternoon.jpg"">";afternoon;tarde;tarde
"<img src=""vocab-air.jpg"">";air;aire;ar
"<img src=""vocab-airport.jpg"">";airport;aeropuerto;aeroporto
"<img src=""vocab-alive.jpg"">";alive;viva;vivo
"<img src=""vocab-animal.jpg"">";animal;animal;animal
"<img src=""vocab-apartment.jpg"">";apartment;departamento;apartamento
"<img src=""vocab-apple.jpg"">";apple;manzana;maçã
"<img src=""vocab-april.jpg"">";April;abril;abril
"<img src=""vocab-arm.jpg"">";arm;brazo;braço
"<img src=""vocab-army.jpg"">";army;ejército;exército
"<img src=""vocab-art.jpg"">";art;arte;arte
"<img src=""vocab-artist.jpg"">";artist;artista;artista
"<img src=""vocab-attack.jpg"">";attack;ataque;ataque
"<img src=""vocab-august.jpg"">";August;agosto;agosto
"<img src=""vocab-author.jpg"">";author;autor;autor
"<img src=""vocab-baby.jpg"">";baby;bebé;bebê
"<img src=""vocab-back.jpg"">";back;espalda;costas
"<img src=""vocab-back.jpg"">";back;atrás;atrás
"<img src=""vocab-bad.jpg"">";bad;malo;mau
"<img src=""vocab-bag.jpg"">";bag;bolso;saco
"<img src=""vocab-ball.jpg"">";ball;pelota;bola
"<img src=""vocab-banana.jpg"">";banana;plátano;banana
"<img src=""vocab-band.jpg"">";band;banda;banda
"<img src=""vocab-bank.jpg"">";bank;banco;banco
"<img src=""vocab-bar.jpg"">";bar;bar;Barra
"<img src=""vocab-bathroom.jpg"">";bathroom;baño;banheiro
"<img src=""vocab-beach.jpg"">";beach;playa;de praia
"<img src=""vocab-beard.jpg"">";beard;barba;barba
"<img src=""vocab-beat.jpg"">";beat;golpear;batida
"<img src=""vocab-beautiful.jpg"">";beautiful;hermosa;lindo
"<img src=""vocab-bed.jpg"">";bed;cama;cama
"<img src=""vocab-bedroom.jpg"">";bedroom;habitación;quarto
"<img src=""vocab-beef.jpg"">";beef;carne de vaca;carne
"<img src=""vocab-beer.jpg"">";beer;cerveza;Cerveja
"<img src=""vocab-bend.jpg"">";bend;curva;dobrar
"<img src=""vocab-beverage.jpg"">";beverage;bebida;bebida
"<img src=""vocab-bicycle.jpg"">";bicycle;bicicleta;bicicleta
"<img src=""vocab-big.jpg"">";big;grande;grande
"<img src=""vocab-bill.jpg"">";bill;cuenta;conta
"<img src=""vocab-billion.jpg"">";billion;mil millones;bilhão
"<img src=""vocab-bird.jpg"">";bird;pájaro;pássaro
"<img src=""vocab-black.jpg"">";black;negro;Preto
"<img src=""vocab-blind.jpg"">";blind;ciego;cego
"<img src=""vocab-blood.jpg"">";blood;sangre;sangue
"<img src=""vocab-blue.jpg"">";blue;azul;azul
"<img src=""vocab-boat.jpg"">";boat;bote;barco
"<img src=""vocab-body.jpg"">";body;cuerpo;corpo
"<img src=""vocab-bone.jpg"">";bone;hueso;osso
"<img src=""vocab-book.jpg"">";book;libro;livro
"<img src=""vocab-bottle.jpg"">";bottle;botella;garrafa
"<img src=""vocab-bottom.jpg"">";bottom;fondo;inferior
"<img src=""vocab-box.jpg"">";box;caja;caixa
"<img src=""vocab-boy.jpg"">";boy;chico;Garoto
"<img src=""vocab-brain.jpg"">";brain;cerebro;cérebro
"<img src=""vocab-bread.jpg"">";bread;un pan;pão
"<img src=""vocab-break.jpg"">";break;romper;quebrar
"<img src=""vocab-breakfast.jpg"">";breakfast;desayuno;café da manhã
"<img src=""vocab-bridge.jpg"">";bridge;puente;ponte
"<img src=""vocab-brother.jpg"">";brother;hermano;irmão
"<img src=""vocab-brown.jpg"">";brown;marrón;Castanho
