"<img src=""actor.jpg"">";actor;actor;ator
"<img src=""adjective.jpg"">";adjective;adjetivo;adjetivo
"<img src=""adult.jpg"">";adult;adulto;adulto
"<img src=""afternoon.jpg"">";afternoon;tarde;tarde
"<img src=""air.jpg"">";air;aire;ar
"<img src=""airport.jpg"">";airport;aeropuerto;aeroporto
"<img src=""alive.jpg"">";alive;viva;vivo
"<img src=""animal.jpg"">";animal;animal;animal
"<img src=""apartment.jpg"">";apartment;departamento;apartamento
"<img src=""apple.jpg"">";apple;manzana;maçã
"<img src=""april.jpg"">";April;abril;abril
"<img src=""arm.jpg"">";arm;brazo;braço
"<img src=""army.jpg"">";army;ejército;exército
"<img src=""art.jpg"">";art;arte;arte
"<img src=""artist.jpg"">";artist;artista;artista
"<img src=""attack.jpg"">";attack;ataque;ataque
"<img src=""august.jpg"">";August;agosto;agosto
"<img src=""author.jpg"">";author;autor;autor
"<img src=""baby.jpg"">";baby;bebé;bebê
"<img src=""back.jpg"">";back;espalda;costas
"<img src=""back.jpg"">";back;espalda;costas
"<img src=""bad.jpg"">";bad;malo;mau
"<img src=""bag.jpg"">";bag;bolso;saco
"<img src=""ball.jpg"">";ball;pelota;bola
"<img src=""banana.jpg"">";banana;plátano;banana
"<img src=""band.jpg"">";band;banda;banda
"<img src=""bank.jpg"">";bank;banco;banco
"<img src=""bar.jpg"">";bar;bar;Barra
"<img src=""bathroom.jpg"">";bathroom;baño;banheiro
"<img src=""beach.jpg"">";beach;playa;de praia
"<img src=""beard.jpg"">";beard;barba;barba
"<img src=""beat.jpg"">";beat;golpear;batida
"<img src=""beautiful.jpg"">";beautiful;hermosa;lindo
"<img src=""bed.jpg"">";bed;cama;cama
"<img src=""bedroom.jpg"">";bedroom;habitación;quarto
"<img src=""beef.jpg"">";beef;carne de vaca;carne
"<img src=""beer.jpg"">";beer;cerveza;Cerveja
"<img src=""bend.jpg"">";bend;curva;dobrar
"<img src=""beverage.jpg"">";beverage;bebida;bebida
"<img src=""bicycle.jpg"">";bicycle;bicicleta;bicicleta
"<img src=""big.jpg"">";big;grande;grande
"<img src=""bill.jpg"">";bill;cuenta;conta
"<img src=""billion.jpg"">";billion;mil millones;bilhão
"<img src=""bird.jpg"">";bird;pájaro;pássaro
"<img src=""black.jpg"">";black;negro;Preto
"<img src=""blind.jpg"">";blind;ciego;cego
"<img src=""blood.jpg"">";blood;sangre;sangue
"<img src=""blue.jpg"">";blue;azul;azul
"<img src=""boat.jpg"">";boat;bote;barco
"<img src=""body.jpg"">";body;cuerpo;corpo
"<img src=""bone.jpg"">";bone;hueso;osso
"<img src=""book.jpg"">";book;libro;livro
"<img src=""bottle.jpg"">";bottle;botella;garrafa
"<img src=""bottom.jpg"">";bottom;fondo;inferior
"<img src=""box.jpg"">";box;caja;caixa
"<img src=""boy.jpg"">";boy;chico;Garoto
"<img src=""brain.jpg"">";brain;cerebro;cérebro
"<img src=""bread.jpg"">";bread;un pan;pão
"<img src=""break.jpg"">";break;romper;quebrar
"<img src=""breakfast.jpg"">";breakfast;desayuno;café da manhã
"<img src=""bridge.jpg"">";bridge;puente;ponte
"<img src=""brother.jpg"">";brother;hermano;irmão
"<img src=""brown.jpg"">";brown;marrón;Castanho
"<img src=""build.jpg"">";build;construir;Construir
"<img src=""building.jpg"">";building;edificio;construção
"<img src=""burn.jpg"">";burn;quemar;queimar
"<img src=""bus.jpg"">";bus;autobús;ônibus
"<img src=""buy.jpg"">";buy;comprar;Comprar
"<img src=""cake.jpg"">";cake;pastel;bolo
"<img src=""call.jpg"">";call;llamada;ligar
"<img src=""camera.jpg"">";camera;cámara;Câmera
"<img src=""camp.jpg"">";camp;acampar;acampamento
"<img src=""car.jpg"">";car;coche;carro
"<img src=""card.jpg"">";card;tarjeta;cartão
"<img src=""carry.jpg"">";carry;llevar;carry
"<img src=""cat.jpg"">";cat;gato;gato
"<img src=""catch.jpg"">";catch;captura;pegar
"<img src=""ceiling.jpg"">";ceiling;techo;teto
"<img src=""cell.jpg"">";cell;célula;célula
"<img src=""centimeter.jpg"">";centimeter;centímetro;centímetro
"<img src=""chair.jpg"">";chair;silla;cadeira
"<img src=""cheap.jpg"">";cheap;barato;barato
"<img src=""cheese.jpg"">";cheese;queso;queijo
"<img src=""chicken.jpg"">";chicken;pollo;frango
"<img src=""child.jpg"">";child;niño;criança
"<img src=""church.jpg"">";church;Iglesia;Igreja
"<img src=""circle.jpg"">";circle;circulo;círculo
"<img src=""city.jpg"">";city;ciudad;cidade
"<img src=""clay.jpg"">";clay;arcilla;argila
"<img src=""clean.jpg"">";clean;limpiar;limpar \ limpo
"<img src=""clean.jpg"">";clean;limpiar;limpar \ limpo
"<img src=""clock.jpg"">";clock;reloj;relógio
"<img src=""close.jpg"">";close;cerrar;fechar
"<img src=""clothing.jpg"">";clothing;ropa;roupas
"<img src=""club.jpg"">";club;club;clube
"<img src=""coat.jpg"">";coat;saco;casaco
"<img src=""coffee.jpg"">";coffee;café;café
"<img src=""cold.jpg"">";cold;frío;frio
"<img src=""color.jpg"">";color;color;cor
"<img src=""computer.jpg"">";computer;computadora;computador
"<img src=""consonant.jpg"">";consonant;consonante;consoante
"<img src=""contract.jpg"">";contract;contrato;contrato
"<img src=""cook.jpg"">";cook;cocinar;cozinhar
"<img src=""cool.jpg"">";cool;frio;legal
"<img src=""copper.jpg"">";copper;cobre;cobre
"<img src=""corn.jpg"">";corn;maíz;milho
"<img src=""corner.jpg"">";corner;esquina;canto
"<img src=""count.jpg"">";count;contar;contagem
"<img src=""country.jpg"">";country;país;país
"<img src=""court.jpg"">";court;corte;quadra
"<img src=""cow.jpg"">";cow;vaca;vaca
"<img src=""crowd.jpg"">";crowd;multitud;multidão
"<img src=""cry.jpg"">";cry;llorar;choro
"<img src=""cup.jpg"">";cup;taza;copo
"<img src=""curved.jpg"">";curved;curvo;curvado
"<img src=""cut.jpg"">";cut;cortar;cortar
"<img src=""dance.jpg"">";dance;danza;dança
"<img src=""dark.jpg"">";dark;oscuro;Sombrio
"<img src=""date.jpg"">";date;fecha;encontro
"<img src=""daughter.jpg"">";daughter;hija;filha
"<img src=""day.jpg"">";day;día;dia
"<img src=""dead.jpg"">";dead;muerto;morto
"<img src=""deaf.jpg"">";deaf;sordo;surdo
"<img src=""death.jpg"">";death;muerte;morte
"<img src=""december.jpg"">";December;diciembre;dezembro
"<img src=""deep.jpg"">";deep;profundo;profundo
"<img src=""diamond.jpg"">";diamond;diamante;diamante
"<img src=""die.jpg"">";die;morir;morrer
"<img src=""dig.jpg"">";dig;cavar;escavação
"<img src=""dinner.jpg"">";dinner;cena;jantar
"<img src=""direction.jpg"">";direction;dirección;direção
"<img src=""dirty.jpg"">";dirty;sucio;sujo
"<img src=""disease.jpg"">";disease;enfermedad;doença
"<img src=""doctor.jpg"">";doctor;doctor;médico
"<img src=""dog.jpg"">";dog;perro;cão
"<img src=""dollar.jpg"">";dollar;dólar;dólar
"<img src=""door.jpg"">";door;puerta;porta
"<img src=""dot.jpg"">";dot;punto;ponto
"<img src=""down.jpg"">";down;abajo;baixa
"<img src=""down.jpg"">";down;abajo;baixa
"<img src=""draw.jpg"">";draw;dibujar;desenhar
"<img src=""dream.jpg"">";dream;sueño;Sonhe
"<img src=""dress.jpg"">";dress;vestido;vestir
